rule,kind,hold,period,n,net_ret,hit,avg_bars,early_exit,per_bar_bp,rand_net,rand_hit,rand_avg_bars,rand_per_bar_bp,excess,excess_lo,excess_hi,excess_bar_bp,profit_factor
rising 2% +0.25%/bar / time 20,rising,20,all,698,0.005254111913647397,0.8137535816618912,7.02865329512894,0.7636103151862464,7.475275409143666,-0.0043048589194779815,0.7118911174785101,9.81160458452722,-4.387517742272952,0.00955897083312538,0.005260439826048895,0.014215194167479427,11.862793151416618,1.3524894458011325
rising 2% +0.5%/bar / time 20,rising,20,train,433,0.0053077699352831525,0.8106235565819861,7.658198614318707,0.7066974595842956,6.930833480028967,-0.00399793592588887,0.6900692840646652,11.071131639722864,-3.6111357501562034,0.009305705861172024,0.0029149095455177597,0.016059709908862324,10.54196923018517,1.2957365458461205
rising 2% +0.5%/bar / time 20,rising,20,test,265,0.009829763129011826,0.769811320754717,8.932075471698113,0.6377358490566037,11.00501575491396,-0.005995721183181466,0.6339622641509434,11.676981132075472,-5.134650056693022,0.015825484312193293,0.008774058441694864,0.02281307114515551,16.13966581160698,1.73875016748454
rising 2% +0.5%/bar / time 20,rising,20,all,698,0.007024572508833439,0.7951289398280802,8.141833810888253,0.6805157593123209,8.627752263180962,-0.004756407406093079,0.6687679083094555,11.301146131805158,-4.208783207135936,0.011780979914926517,0.007018822434438349,0.016892392814185492,12.8365354703169,1.4340072040624687
rising 3% +0.5%/bar / time 20,rising,20,train,433,0.008821693083583937,0.766743648960739,10.394919168591224,0.5773672055427251,8.486543224154287,-0.003257100052231623,0.6288683602771362,13.485912240184758,-2.415187044244773,0.01207879313581556,0.003907582327592759,0.019756067474132954,10.90173026839906,1.3837892185095761
rising 3% +0.5%/bar / time 20,rising,20,test,265,0.013228345370981035,0.7094339622641509,11.550943396226415,0.5132075471698113,11.45217746916032,-0.007753578957057845,0.5520754716981132,14.318490566037736,-5.4150812345043455,0.02098192432803888,0.012380521430675978,0.028927798787022816,16.867258703664668,1.7712476249606615
rising 3% +0.5%/bar / time 20,rising,20,all,698,0.010494705771492578,0.7449856733524355,10.833810888252149,0.5530085959885387,9.686993690163739,-0.004964215968820375,0.5997134670487106,13.802005730659026,-3.5967351888523966,0.015458921740312956,0.009430513031938384,0.02136930644890054,13.283728879016135,1.5052600182921005
rising 2% +0.5%/bar / time 60,rising,60,train,433,0.02173906762782003,0.8752886836027713,18.74826789838337,0.7321016166281755,11.595240555365944,-0.016631005902739544,0.684526558891455,29.052886836027714,-5.724390142915462,0.03837007353055956,0.029490771790613317,0.047564546215465374,17.319630698281408,2.4444527672262337
rising 2% +0.5%/bar / time 60,rising,60,test,265,0.01504803001053078,0.8150943396226416,23.181132075471698,0.6528301886792452,6.4914991906082635,-0.016636903327921674,0.6490566037735849,31.105283018867926,-5.348578027028405,0.03168493333845245,0.02106522695215439,0.04315006863946776,11.840077217636669,1.7130584659812087
rising 2% +0.5%/bar / time 60,rising,60,all,698,0.019198773976556914,0.8524355300859598,20.431232091690543,0.7020057306590258,9.396777389830113,-0.016633244896540784,0.6710601719197707,29.832091690544413,-5.5756214043190475,0.03583201887309769,0.029263658537986636,0.04260915535432656,14.97239879414916,2.1066678049246277
per-day 0.5% / time 20,perday,20,train,433,0.008617710417050025,0.8429561200923787,6.699769053117783,0.7551963048498845,12.862697726930925,-0.002520081746695129,0.7489607390300231,8.775519630484988,-2.8717179754697373,0.011137792163745155,0.0031575517332375195,0.01895736402530148,15.734415702400662,1.4841740096076388
per-day 0.5% / time 20,perday,20,test,265,0.010671345714566292,0.8264150943396227,7.003773584905661,0.7358490566037735,15.236565810129672,-0.00700312024219648,0.6909433962264151,9.461132075471697,-7.401989726316477,0.01767446595676277,0.010807845829821467,0.025107263873075394,22.638555536446148,1.8840727011334535
per-day 0.5% / time 20,perday,20,all,698,0.009397385709087004,0.836676217765043,6.815186246418338,0.7478510028653295,13.788890529625245,-0.00422209492908461,0.7269340974212034,9.035816618911175,-4.672621310450385,0.013619480638171616,0.00841607647763656,0.018811569928934048,18.46151184007563,1.601468455047967
per-day 1% / time 20,perday,20,train,433,0.012091700509440232,0.7621247113163973,10.4364896073903,0.5450346420323325,11.585984334117327,-0.002897671893665768,0.6503464203233257,12.603695150115474,-2.299065360716234,0.014989372403105999,0.005630197018981921,0.024345908455501872,13.885049694833562,1.5045179366266592
per-day 1% / time 20,perday,20,test,265,0.013919787004501905,0.7433962264150943,10.637735849056604,0.5169811320754717,13.08529108262861,-0.009269805290340863,0.5792452830188679,13.319622641509435,-6.959510445477884,0.02318959229484277,0.014467051614426832,0.03215726545610884,20.044801528106493,1.837694491478407
