rule,kind,hold,period,n,net_ret,hit,avg_bars,early_exit,per_bar_bp,rand_net,rand_hit,rand_avg_bars,rand_per_bar_bp,excess,excess_lo,excess_hi,excess_bar_bp,profit_factor
hybrid 2% day 1 then 6% / time 10,hybrid,10,test,513,0.004218145694722672,0.7407407407407407,5.087719298245614,0.6062378167641326,8.290838089627321,-0.004317126901043197,0.5824561403508772,7.245029239766082,-5.958743240603654,0.008535272595765869,0.0035273545800285364,0.01309104185702697,14.249581330230974,1.2531625439687712
hybrid 2% day 1 then 6% / time 10,hybrid,10,all,1120,0.0022185585618876183,0.7464285714285714,4.983035714285714,0.6205357142857143,4.452222879975153,-0.0033943932834996256,0.6029464285714285,7.079910714285714,-4.794401257985473,0.005612951845387243,0.001331782598556634,0.009595623155356194,9.246624137960627,1.1163289967118837
hybrid 2% day 1 then 6% / time 20,hybrid,20,train,607,0.0062520743259378755,0.800658978583196,8.034596375617792,0.7215815485996705,7.7814416974457465,-0.0047860279358673515,0.6540362438220758,11.929159802306424,-4.0120410952513215,0.011038102261805226,0.003708884586585096,0.01756963621825218,11.793482792697068,1.323771454930819
hybrid 2% day 1 then 6% / time 20,hybrid,20,test,511,0.0063906389343271145,0.7729941291585127,8.344422700587085,0.7064579256360078,7.658575270734417,-0.006381661455906816,0.6164383561643836,12.594716242661448,-5.066935477506461,0.012772300390233929,0.00686669329749914,0.01887370888342037,12.725510748240879,1.3364572506928205
hybrid 2% day 1 then 6% / time 20,hybrid,20,all,1118,0.0063154075235111315,0.7880143112701252,8.176207513416816,0.7146690518783542,7.72412822588934,-0.005515338068908646,0.6368515205724508,12.233363148479427,-4.508439749533787,0.011830745592419777,0.007018425284873851,0.015947133818813842,12.232567975423127,1.3295177595767358
trail 3% / time 60,trail,60,train,607,0.0006038059114518642,0.4332784184514003,8.411861614497528,1.0,0.7178029538803007,-0.005861742401923765,0.3579901153212521,9.699176276771006,-6.043546621543848,0.006465548313375631,-0.0015075993112802773,0.014316075303922336,6.761349575424148,1.0193531981263497
trail 3% / time 60,trail,60,test,511,0.002133140803386282,0.41682974559686886,8.681017612524462,0.9980430528375733,2.4572474087700407,-0.009232708756211416,0.3279843444227006,9.474559686888455,-9.744736495763778,0.011365849559597699,0.004796768754755932,0.01832800149686713,12.201983904533819,1.0831936434363585
trail 3% / time 60,trail,60,all,1118,0.001302813183167864,0.4257602862254025,8.534883720930232,0.9991055456171736,1.5264568631122113,-0.007402497148829839,0.34427549194991053,9.596511627906978,-7.713737486966753,0.008705310331997703,0.0026975485391970825,0.014207243277528828,9.240194350078964,1.0454597170972475
trail 5% / time 60,trail,60,train,607,0.007875021059411477,0.43657331136738053,16.215815485996703,0.9604612850082372,4.856382996101561,-0.007333726539863438,0.3342668863261944,16.3668863261944,-4.480831841622905,0.015208747599274916,0.005011912229345794,0.02531417504311215,9.337214837724467,1.219957685132875
trail 5% / time 60,trail,60,test,509,0.01227222227046419,0.4381139489194499,16.958742632612967,0.9528487229862476,7.236516607583726,-0.012143997040279091,0.3074656188605108,16.535756385068762,-7.344083184029438,0.024416219310743278,0.014124366532373978,0.033390348379906926,14.580599791613164,1.4049696336360549
trail 5% / time 60,trail,60,all,1116,0.009880554586674766,0.43727598566308246,16.554659498207887,0.956989247311828,5.968443257769439,-0.009527658156988498,0.32204301075268815,16.44390681003584,-5.794035606656257,0.019408212743663264,0.012555609742312878,0.026506499594638,11.762478864425695,1.2967609182426967
trail 8% / time 60,trail,60,train,607,0.01772738039859082,0.4645799011532125,27.29489291598023,0.8220757825370676,6.494760925847795,-0.012758929410129962,0.3227347611202636,25.720593080724875,-4.96058911631068,0.030486309808720788,0.017528792077112342,0.04328326692655762,11.455350042158475,1.4138955965357396
trail 8% / time 60,trail,60,test,505,0.03715001176639117,0.49504950495049505,30.754455445544554,0.7881188118811882,12.079554402181147,-0.018822332799394183,0.3017821782178218,26.60732673267327,-7.074116459915055,0.055972344565785356,0.04303923772140845,0.06940487225564708,19.153670862096202,2.005079695012199
trail 8% / time 60,trail,60,all,1112,0.02654790993162965,0.4784172661870504,28.866007194244606,0.8066546762589928,9.196945650634651,-0.015512543359391142,0.31321942446043166,26.123291366906475,-5.938204011705338,0.042060453291020795,0.03250306673599335,0.052110779869165215,15.13514966233999,1.6609622308993228
trail 5% / time 20,trail,20,train,607,0.0051637231153498775,0.45799011532125206,11.365733113673805,0.71334431630972,4.543238050467279,-0.005499772335870618,0.37808896210873144,12.001153212520594,-4.582703210665456,0.010663495451220494,0.0014466667236381755,0.019561237129840075,9.125941261132734,1.1480970535084885
trail 5% / time 20,trail,20,test,509,0.007253360003500844,0.4636542239685658,12.155206286836934,0.6994106090373281,5.967286636143412,-0.009743159222243522,0.35717092337917483,12.40943025540275,-7.851415433034565,0.016996519225744366,0.008031530459952495,0.024608159166060035,13.818702069177977,1.2505363504032956
trail 5% / time 20,trail,20,all,1116,0.006116792269533427,0.460573476702509,11.725806451612904,0.706989247311828,5.216521605379264,-0.007435152197128511,0.3685483870967742,12.18736559139785,-6.100704981211386,0.013551944466661938,0.007142115592867418,0.020176653623730056,11.31722658659065,1.190145627798983
