group,hold,target,stop,n,net_ret,hit,hit_lo,rand_net,rand_hit,excess,excess_lo,excess_hi,p,profit_factor,target_rate,stop_rate,avg_bars
Head and Shoulders,1,0.02,,173,0.0015288507389492664,0.5202312138728323,0.4461564696155206,-0.0009672838010981227,0.4936416184971098,0.0024961345400473893,-1.66769050925136e-06,0.004764317196559404,0.014,1.2684341506658041,0.3063583815028902,,1.0
Inverse Head and Shoulders,1,0.02,,128,-0.0012217059865109424,0.484375,0.3995214745657504,-0.0001845833115559892,0.52265625,-0.0010371226749549536,-0.004124865116715414,0.002086235737864959,0.754,0.8370994271832161,0.21875,,1.0
Inverted Cup and Handle,1,0.02,,52,0.0013133227218639252,0.5576923076923077,0.42339524991516386,4.641990782775368e-06,0.5096153846153846,0.00130868073108115,-0.004198049898197312,0.006649952572959334,0.218,1.1919307928650404,0.34615384615384615,,1.0
Rectangle,1,0.02,,81,-0.0003732182070423016,0.5308641975308642,0.42326527260622987,-0.00041037753137890514,0.5037037037037037,3.715932433660364e-05,-0.003404457318124053,0.003214960907026541,0.472,0.9401545885689176,0.20987654320987653,,1.0
Rising Wedge,1,0.02,,489,-0.0004007526175473597,0.5153374233128835,0.47109441025498244,-0.0010108196811543493,0.4768916155419223,0.0006100670636069897,-0.0007653372694892436,0.002045389992778466,0.186,0.9356695742107343,0.20040899795501022,,1.0
Symmetrical Triangle,1,0.02,,360,0.0008549108210597524,0.5277777777777778,0.47618585933324986,-0.0010025227894528024,0.48138888888888887,0.0018574336105125547,0.00017977730812765883,0.003293084847772933,0.006,1.1584817298299823,0.225,,1.0
Ascending Triangle,1,0.02,0.02,244,-0.0003012855264529007,0.4672131147540984,0.4056032736938778,-0.0005706518558604126,0.489344262295082,0.00026936632940751157,-0.001574631611916749,0.0019401050917620206,0.364,0.9464801330033735,0.1762295081967213,0.1557377049180328,1.0
Bear Flag,1,0.02,0.02,461,-0.002012306964503213,0.4598698481561822,0.4148927663914229,-0.0015596863649606507,0.46073752711496746,-0.00045262059954256234,-0.001881192032758194,0.0009567579549573365,0.74,0.7534235809188523,0.24078091106290672,0.3188720173535792,1.0
Bull Flag,1,0.02,0.02,657,-0.000286641165141298,0.5007610350076104,0.46263450461748423,-0.0007564347946774149,0.4809741248097412,0.00046979362953611695,-0.0006284791484586968,0.001670551686095578,0.208,0.9555514607455016,0.2176560121765601,0.2176560121765601,1.0
Cup and Handle,1,0.02,0.02,88,0.001271644362155832,0.5681818181818182,0.46398482983322936,-0.0001908751029705091,0.5136363636363637,0.0014625194651263407,-0.0012889306666578624,0.0042010658770278006,0.106,1.2889835173667838,0.1590909090909091,0.10227272727272728,1.0
Descending Triangle,1,0.02,0.02,154,-0.0018436490287770174,0.4675324675324675,0.3904795652294576,-0.0011160521956629262,0.4714285714285714,-0.0007275968331140913,-0.0031869010366770943,0.0018538056102079987,0.762,0.7552604213285207,0.19480519480519481,0.23376623376623376,1.0
Double Bottom,1,0.02,0.02,407,-0.0013881910933286018,0.44717444717444715,0.39958730320154184,-0.0008588369713916575,0.47862407862407863,-0.0005293541219369442,-0.001963398741562889,0.0008267132733679319,0.774,0.7986963283988204,0.20393120393120392,0.24078624078624078,1.0
Double Top,1,0.02,0.02,450,-0.0021582872485825444,0.4311111111111111,0.3861275046326247,-0.0010292882272574726,0.46555555555555556,-0.0011289990213250718,-0.002594901449439122,9.634520393282852e-05,0.95,0.7236179031987533,0.21777777777777776,0.2822222222222222,1.0
Falling Wedge,1,0.02,0.02,336,0.00042780343934329827,0.5148809523809523,0.46157567281734435,-0.0007654018160590682,0.48392857142857143,0.0011932052554023667,-0.0005783774807424791,0.002796317278619956,0.038,1.0727104966581462,0.23511904761904762,0.17559523809523808,1.0
Head and Shoulders,1,0.02,0.02,173,0.00010476746942096107,0.47398843930635837,0.4009568271633665,-0.0011419104672891198,0.461849710982659,0.0012466779367100809,-0.00107265423685586,0.003250962589311284,0.12,1.0166343755246228,0.2658959537572254,0.23121387283236994,1.0
Inverse Head and Shoulders,1,0.02,0.02,128,-0.0015592227820133077,0.4453125,0.36205379206482013,-0.0004126899249949006,0.50390625,-0.0011465328570184068,-0.003643838053639679,0.0014418155403083334,0.814,0.779630774586639,0.1796875,0.2109375,1.0
Inverted Cup and Handle,1,0.02,0.02,52,0.0004036819979900959,0.5,0.3688563855796992,-0.00027358225865667846,0.49038461538461536,0.0006772642566467743,-0.0034698713228900157,0.005190241464433967,0.326,1.060124573645134,0.3076923076923077,0.2692307692307692,1.0
Rectangle,1,0.02,0.02,81,-0.0014009040763645407,0.4691358024691358,0.3643319191569785,-0.00041377052729866414,0.49135802469135803,-0.0009871335490658766,-0.00397013287675429,0.001734541426217753,0.738,0.7762474780504364,0.16049382716049382,0.19753086419753085,1.0
Rising Wedge,1,0.02,0.02,489,-0.0006739713234959528,0.4948875255623722,0.45078559346692715,-0.001146128125255676,0.4560327198364008,0.00047215680175972333,-0.0007180056873041635,0.0016449955656151808,0.188,0.890424768525743,0.18404907975460122,0.18609406952965235,1.0
Symmetrical Triangle,1,0.02,0.02,360,0.0006645940431681859,0.5111111111111111,0.45962921142968316,-0.0012644096461181301,0.4625,0.0019290036892863158,0.00047640129861600025,0.003378920467431475,0.002,1.1255280882272611,0.21388888888888888,0.1388888888888889,1.0
Ascending Triangle,1,,,244,-0.0008054217584661893,0.4713114754098361,0.4096071696344904,-0.00016090222684501273,0.4930327868852459,-0.0006445195316211765,-0.003090103736285412,0.0014311028353648978,0.748,0.8744871063685216,,,1.0
Bear Flag,1,,,461,-0.0016931999342331958,0.46637744034707157,0.4213031885555677,-0.0010468956123403522,0.4787418655097614,-0.0006463043218928436,-0.002843669978613295,0.0013934703494972644,0.72,0.8164517608433541,,,1.0
Bull Flag,1,,,657,0.0015342693579311084,0.5251141552511416,0.4868938508946657,0.0001289364544523808,0.4939117199391172,0.0014053329034787276,-0.0002727967396533952,0.002889329410512328,0.044,1.2511998621346083,,,1.0
Cup and Handle,1,,,88,0.0004486517972696714,0.5454545454545454,0.44169880685506685,-0.00043294761689788714,0.5159090909090909,0.0008815994141675582,-0.0023211274095040375,0.004274377380199823,0.264,1.0874895448531683,,,1.0
Descending Triangle,1,,,154,-0.0021979676371696876,0.45454545454545453,0.3779631387413068,-0.0010259214104973162,0.475974025974026,-0.0011720462266723713,-0.0046066152346162055,0.0023576639582409487,0.79,0.7498223722906735,,,1.0
Double Bottom,1,,,407,-0.0010771956245972727,0.4594594594594595,0.4116470815898037,-0.000525765555314778,0.48452088452088454,-0.0005514300692824948,-0.002518917744103113,0.0014515052507433836,0.728,0.8585628356711691,,,1.0
Double Top,1,,,450,-0.00047474437498363305,0.4622222222222222,0.4166706693772956,-0.0006643105229839282,0.47155555555555556,0.00018956614800029524,-0.0018354800039365419,0.002075778357584612,0.396,0.9382587010408897,,,1.0
Falling Wedge,1,,,336,0.0009928961690305795,0.5178571428571429,0.46452846787820873,-0.0004405438040181769,0.49464285714285716,0.0014334399730487567,-0.0008578692435349126,0.0034073523535407707,0.046,1.1618940133824622,,,1.0
