group,hold,target,stop,n,net_ret,hit,hit_lo,rand_net,rand_hit,excess,excess_lo,excess_hi,p,profit_factor,target_rate,stop_rate,avg_bars
Inverted Cup and Handle,1,,,564,0.001887991236401328,0.5372340425531915,0.4959699388592773,-0.0006104256960776205,0.47198581560283687,0.0024984169324789494,0.0008371935984246668,0.004291968929228447,0.0,1.284252231408016,,,1.0
Rectangle,1,,,1337,-0.00034872234355419327,0.4839192221391174,0.45721594322229653,-0.00032843475764073027,0.48908002991772626,-2.0287585913462923e-05,-0.0010329573766675528,0.0009772805505280362,0.5,0.9438927722642916,,,1.0
Rising Wedge,1,,,5611,3.7943499074125036e-05,0.4838709677419355,0.470810323280305,-0.0008636263655158009,0.46309035822491534,0.000901569864589926,0.00046675391178393154,0.0013219455989055137,0.0,1.0066944362222359,,,1.0
Symmetrical Triangle,1,,,3678,0.00028504101917223307,0.511963023382273,0.49580437901561886,-0.00042760335722979363,0.4864056552474171,0.0007126443764020266,0.00011916304677420944,0.0012836789114243027,0.0,1.0500904813754648,,,1.0
Triple Bottom,1,,,143,-0.001535470436303052,0.4405594405594406,0.36180032711402477,-0.0003435674690815743,0.4874125874125874,-0.0011919029672214773,-0.0033512344973157093,0.0011382645767191463,0.876,0.7310112030344761,,,1.0
Triple Top,1,,,214,-0.0005327512535508964,0.4532710280373832,0.38798245680526094,-0.0008532403907810646,0.46261682242990654,0.00032048913723016785,-0.001985322401116641,0.002612542299783412,0.362,0.9270826097508085,,,1.0
Ascending Triangle,1,,0.02,3163,-0.0004788463346974829,0.49035725576983874,0.47295761196221325,-0.00036832865191862473,0.4822636737274739,-0.0001105176827788578,-0.000600723378741648,0.00035557019264064696,0.676,0.9119582086832941,,0.1492254189061018,1.0
Bear Flag,1,,0.02,4742,-0.0011478699727552018,0.43525938422606497,0.4212058820683286,-0.00038451868502232915,0.45215099114297763,-0.0007633512877328725,-0.0013228054926083261,-0.0002520897727568861,0.998,0.8563849763315933,,0.2975537747785744,1.0
Bull Flag,1,,0.02,7707,-0.0007764784706935789,0.4610094719086545,0.4499025827465136,-0.00027620555296811424,0.47076683534449204,-0.0005002729177254643,-0.0008860352831076081,-0.00013169550299796916,0.994,0.8812002943903022,,0.21071752951861944,1.0
Cup and Handle,1,,0.02,1224,-0.0003587082503802887,0.4738562091503268,0.44600856332073585,-0.00018461785528186322,0.48423202614379085,-0.0001740903950984252,-0.0009853358692180477,0.0006904220528756319,0.706,0.9335239233866891,,0.14460784313725492,1.0
Descending Triangle,1,,0.02,1644,-0.00040671265569751716,0.4732360097323601,0.44919120690029984,-0.0006176346963605802,0.46228710462287104,0.00021092204066306325,-0.0005696407661769117,0.0010466754991654028,0.262,0.9381430471179862,,0.21228710462287104,1.0
Double Bottom,1,,0.02,5597,-0.0002355816625486871,0.474718599249598,0.4616578610763873,-0.0006695996146751318,0.467214579238878,0.0004340179521264449,-2.9107339673356826e-05,0.0009229845474611821,0.018,0.9635068935367466,,0.2101125603001608,1.0
Double Top,1,,0.02,6109,-0.0007904306618413361,0.4455721067277787,0.43314632247384044,-0.0007651301715367774,0.4517924373874611,-2.5300490304558484e-05,-0.0005088486286633193,0.00046437236076399263,0.55,0.8949113591547242,,0.2668194467179571,1.0
Falling Wedge,1,,0.02,3183,0.0006015402191340806,0.5026704366949418,0.48530762014951556,-0.00047098401794960044,0.47291863022306,0.0010725242370836815,0.0005019104610729188,0.0016201349099764306,0.0,1.1083701656642089,,0.1633678919258561,1.0
