group,n,hit,stop,mean_ret,days,per_day_bp,bh_per_day_bp,edge_bp,ann,dim,tp,sl,period
mid vol,21795.0,0.916494608855242,0.08350539114475797,0.0008676007829315731,4.773021335168616,1.8177182166333714,2.565063109034023,-0.7473448924006515,0.046867462911210245,vol_x_period,0.01,0.1,train
high vol,14687.0,0.9211547627153265,0.077143051678355,0.0017407628058528223,2.8517736774017837,6.104140800678159,5.50090947437035,0.6032313263078085,0.1662312769630887,vol_x_period,0.01,0.1,test
high vol,23779.0,0.9182471929012994,0.08175280709870053,0.0012747908910531749,2.743849615206695,4.645994022369716,8.013214642703057,-3.3672206203333404,0.12417772843664743,vol_x_period,0.01,0.1,train
6m losers,15219.0,0.9227281687364478,0.07484065970168868,0.0019160422379073557,4.227610224062028,4.532211193458509,4.414002086512922,0.1182091069455867,0.12096043412915147,mom_x_period,0.01,0.1,test
6m losers,23118.0,0.924993511549442,0.075006488450558,0.0019476831514105642,3.742624794532399,5.204056667010636,7.402125428922696,-2.1980687619120607,0.1400910370318278,mom_x_period,0.01,0.1,train
6m middle,15569.0,0.9260068084013103,0.07007514933521741,0.0022866501445517017,5.602158134754962,4.081730807214566,4.328047178919862,-0.2463163717052961,0.1083125460155665,mom_x_period,0.01,0.1,test
6m middle,22768.0,0.9224349964862966,0.07756500351370345,0.0015530791419949975,5.7784170765987355,2.6877242009487547,3.3850108228249765,-0.6972866218762219,0.07006730613902623,mom_x_period,0.01,0.1,train
6m winners,15530.0,0.9208628461043142,0.07739858338699292,0.0015932809064856611,4.847842884739214,3.2865770289322613,3.732505738655244,-0.44592870972298226,0.08633335823366761,mom_x_period,0.01,0.1,test
6m winners,22807.0,0.9112114701626693,0.08878852983733064,0.000505376328991455,5.3268294821765245,0.948737575855272,1.8793822734581662,-0.9306446976028941,0.02419511745275127,mom_x_period,0.01,0.1,train
above MA200,74893.0,0.9637616332634559,0.03269998531237899,0.0031768020148974186,8.727090649326373,3.640161587117959,3.8989238952904333,-0.25876230817247403,0.09605281920265907,trend,0.01,0.2,
beaten-down,23413.0,0.9697176782129586,0.02921453893136292,0.004305214554306156,5.284158373553154,8.147398790796005,8.826861902230723,-0.679463111434717,0.22780847919581704,trend,0.01,0.2,
below MA200,17138.0,0.9680242735441709,0.030050180884583964,0.003977344714643451,7.189286964639981,5.532321542046867,6.088152875262252,-0.5558313332153849,0.14955619762742112,trend,0.01,0.2,
low vol,38467.0,0.9638131385343282,0.032807341357527234,0.003241612861368405,11.386409129903553,2.8469140923938174,3.073922519421494,-0.22700842702767657,0.0743674017375957,vol,0.01,0.2,
mid vol,38466.0,0.9644101284251027,0.03288618520251651,0.0031477589267457514,7.680133104559871,4.098573402167802,4.428234829706767,-0.3296614275389648,0.10878285830592826,vol,0.01,0.2,
high vol,38466.0,0.9687776217958717,0.02890864659699475,0.004225413456831848,4.337830811625851,9.74084430749878,10.493009054263476,-0.752164746764697,0.278068303607095,vol,0.01,0.2,
6m losers,38337.0,0.9693507577536061,0.028692907634921876,0.004273724847807788,6.094790933041187,7.012094253535419,7.566649082024693,-0.5545548284892744,0.19320486462675657,mom,0.01,0.2,
6m middle,38337.0,0.9647338080705324,0.031170931476119674,0.0033753701652472646,9.006234186295224,3.747815230458432,4.0231882611050835,-0.27537303064665164,0.09902920597991227,mom,0.01,0.2,
6m winners,38337.0,0.9630383180739234,0.03458799593082401,0.003000736647490608,8.327542582883376,3.603387935425742,3.896642437719431,-0.29325450229368893,0.09503794928806641,mom,0.01,0.2,
NASDAQ-100,21367.0,0.9646183366874151,0.032948003931295926,0.0034996649852372455,6.999297982870782,5.000022850580006,6.266024356705948,-1.2660015061259426,0.134247103674763,index,0.01,0.2,
S&P-only,94077.0,0.9658258660458986,0.03129351488674171,0.00353013609746992,7.982524952964061,4.42233017531516,4.598550771603307,-0.1762205962881465,0.11786217153128664,index,0.01,0.2,
(NASDAQ-only),2411.0,0.9547905433430112,0.043135628369970966,0.0034586292759761976,6.457071754458731,5.356343258208256,6.9881635587415465,-1.6318203005332907,0.1444723637253147,sector,0.01,0.2,
Communication Services,5190.0,0.9624277456647399,0.035452793834296725,0.0030155678876429676,7.435452793834297,4.055661398514383,4.769993886982485,-0.7143324884681022,0.10758497612719164,sector,0.01,0.2,
Consumer Discretionary,10681.0,0.9646100552382736,0.03333021252691695,0.003347943107779764,6.451174983615767,5.189664078687419,6.457775684104424,-1.268111605417005,0.1396778234167224,sector,0.01,0.2,
Consumer Staples,7706.0,0.9670386711653257,0.02906825849987023,0.0038115010894219955,10.581235400986245,3.6021324022965575,3.3663124688276462,0.23581993346891128,0.09500331593168299,sector,0.01,0.2,
Energy,4759.0,0.9609161588569027,0.038033200252153815,0.002167929634479061,5.9459970582055055,3.6460321343201936,3.656150188399387,-0.010118054079193205,0.09621491976924723,sector,0.01,0.2,
Financials,17355.0,0.9667530970901758,0.03042350907519447,0.003655955528077471,7.975569000288101,4.58394319947004,4.217648254457847,0.3662949450121932,0.12242205662732508,sector,0.01,0.2,
Health Care,13283.0,0.9667996687495295,0.03199578408492058,0.0033689340640090416,7.987803959948807,4.2175973282532,4.767123504450422,-0.5495261761972211,0.1121121509699281,sector,0.01,0.2,
Industrials,18167.0,0.969174877525183,0.028017834535146145,0.004329203694739961,7.709528265536412,5.615393764223711,5.858659726407571,-0.24326596218385937,0.15196387881931295,sector,0.01,0.2,
Information Technology,16249.0,0.9619668902701705,0.036125300018462675,0.002657261730371632,6.099329189488584,4.356645866812835,5.873301711597403,-1.5166558447845677,0.11601417727489993,sector,0.01,0.2,
Materials,5682.0,0.9614572333685322,0.03625483984512495,0.0033486407778999545,8.437697993664203,3.9686663120846717,3.870581479055237,0.09808483302943495,0.10516047527669259,sector,0.01,0.2,
Real Estate,6916.0,0.9635627530364372,0.0316657027183343,0.0028685852527637673,9.536726431463274,3.0079349275447593,3.2828556909789515,-0.2749207634341922,0.07873446500807924,sector,0.01,0.2,
Utilities,7045.0,0.97416607523066,0.017743080198722498,0.005472414017164076,9.94222853087296,5.504212662353256,5.430626175454283,0.07358648689897324,0.14874265376210172,sector,0.01,0.2,
test,46454.0,0.9645670986352091,0.02927627330262195,0.003763813391163377,7.669307271709648,4.907631495020729,4.986629125468578,-0.07899763044784923,0.13161065547560113,period,0.01,0.2,
train,68990.0,0.9662994636903899,0.03316422669952167,0.0033633536470233133,7.888911436440064,4.26339384606028,4.802713278612618,-0.5393194325523386,0.11339580498025015,period,0.01,0.2,
ALL,115444.0,0.9656023699802502,0.031599736668861095,0.0035244963391881943,7.800543986694848,4.518269937583611,4.875474863241349,-0.35720492565773804,0.12056686594121624,all,0.01,0.2,
above MA200,30025.0,0.9641965029142381,0.028043297252289757,0.003835248798399987,8.295087427144047,4.623518235443653,4.804782501460511,-0.18126426601685816,0.12354148068795734,trend_x_period,0.01,0.2,test
above MA200,44868.0,0.963470624944281,0.03581617188196488,0.0027361791951892827,9.016180797004546,3.034743043416261,3.3412182052125683,-0.3064751617963074,0.0794632456911708,trend_x_period,0.01,0.2,train
beaten-down,8953.0,0.9623589858148107,0.034960348486540824,0.0030438737265026466,5.732603596559812,5.3097579053421775,4.82121950874021,0.48853839660196746,0.14313031300009205,trend_x_period,0.01,0.2,test
beaten-down,14460.0,0.9742738589211618,0.02565698478561549,0.005086181665739408,5.006500691562932,10.159155024807559,11.66667722122825,-1.5075221964206917,0.2915986982075396,trend_x_period,0.01,0.2,train
below MA200,7476.0,0.9686998394863563,0.02742108079186731,0.004339090506656723,7.475387907972178,5.804502134302985,5.948948907603921,-0.14444677330093555,0.15746355205394358,trend_x_period,0.01,0.2,test
below MA200,9662.0,0.9675015524736079,0.032084454564272405,0.0036974428784717238,6.967915545435727,5.306383027121649,6.203706807538312,-0.8973237804166625,0.1430331489821901,trend_x_period,0.01,0.2,train
low vol,15081.0,0.9661826138850209,0.026722365890856043,0.00426761339584134,11.545520854054772,3.6963368303497193,3.8460891751070023,-0.149752344757283,0.0976049382395936,vol_x_period,0.01,0.2,test
low vol,23386.0,0.9622851278542718,0.036731377747370224,0.0025799728177360475,11.283802274865304,2.286439229339336,2.5644235605850056,-0.2779843312456694,0.05930356977228546,vol_x_period,0.01,0.2,train
mid vol,16671.0,0.9643092795873073,0.030292124047747587,0.0035584346456056276,7.144622398176474,4.980577625087435,5.344327790631582,-0.3637501655441469,0.13369171351272358,vol_x_period,0.01,0.2,test
mid vol,21795.0,0.9644872677219546,0.034870383115393436,0.0028336329845978733,8.089745354439092,3.5027468238452917,3.809380044038803,-0.30663322019351125,0.09226526482908959,vol_x_period,0.01,0.2,train
high vol,14687.0,0.963505140600531,0.030435078640975013,0.003545254011951305,4.2869884932253015,8.269800624736561,7.6127574518990215,0.6570431728375404,0.23159841770839695,vol_x_period,0.01,0.2,test
high vol,23779.0,0.9720341477774507,0.027965852222549308,0.004645511096217883,4.369233357163884,10.632325436683322,12.238497635533912,-1.60617219885059,0.3070755844945565,vol_x_period,0.01,0.2,train
6m losers,15219.0,0.9630067678559695,0.03239371837834286,0.0033376997477933996,6.600959327156843,5.056385871159442,4.941373211661498,0.11501265949794437,0.13585846326499795,mom_x_period,0.01,0.2,test
6m losers,23118.0,0.9735271217233324,0.02625659659140064,0.0048899272008279026,5.761571070161779,8.487142033449912,9.546702641716324,-1.0595606082664117,0.2383567148610326,mom_x_period,0.01,0.2,train
6m middle,15569.0,0.9661506840516411,0.025370929411009057,0.004268611191193636,8.879568373049008,4.807228247883752,5.040413464704303,-0.23318521682055068,0.1287525030366774,mom_x_period,0.01,0.2,test
6m middle,22768.0,0.9637649332396345,0.035137034434293744,0.002764562473181248,9.092849613492621,3.040369730825628,3.343914568444367,-0.3035448376187389,0.07961626987458326,mom_x_period,0.01,0.2,train
6m winners,15530.0,0.965099806825499,0.029491307147456534,0.0038124823622331856,7.528976175144881,5.06374608385558,5.155163546928543,-0.09141746307296289,0.13606905226371624,mom_x_period,0.01,0.2,test
6m winners,22807.0,0.9616345858727584,0.0380584908142237,0.0024479935883441957,8.871311439470338,2.7594494963310106,3.169345273242563,-0.4098957769115523,0.07200265006878248,mom_x_period,0.01,0.2,train
